First name,Last name,Bio,Link,Contributed Book,Contributed Web,Other
Rae,Abileah,"Rae Abileah is the co-director of CODEPINK Women for Peace, a peace and justice group working to redirect the nation’s resources from militarism to healthcare, education, green jobs and other life-affirming activities. Rae lives in San Francisco, and is a contributing author to several books including: 10 Excellent Reasons Not to Join the Military; Sisters Singing; Beyond Tribal Loyalties: Personal Stories of Jewish Peace Activists; and Corporate Complicity in Israel’s Occupation. When not raising a ruckus for justice, she enjoys surfing, hiking and cooking quiches. She can be reached at rae@codepink.org ",www.codepink.org,1
Celia,Alario,"Celia Alario is a communications strategist, spokesperson coach and seasoned troublemaker. She enjoys collaborating with grassroots organizations, filmmakers, artists and authors, and scheming about how to engage key audiences and change the world with stories, while tapping both traditional media/marketing and new media/web 2.0 tools. Alario teaches Environmental Communications Strategies and Tactics at UC Santa Barbara, and serves on the board of directors of the Independent Television Service (ITVS) and the smartMeme Training and Strategy Collective, and on the advisory boards of BEN (Business Ethics Network) and IVAW (Iraq Veterans Against the War). Her sock puppet alias tweets at www.twitter.com/celiaalario
",www.twitter.com/celiaalario,1
Phil,Aroneanu,"Phil Aroneanu has been working on solving the climate crisis since he was sixteen. In 2008, with author/activist Bill McKibben and a small group of fellow students, he helped launch the innovative 350.org campaign. In the lead-up to the 2009 United Nations climate talks in Copenhagen, 350.org pulled off over 5,200 simultaneous public events in 181 countries in what CNN called “the most widespread day of political action in history.” Since then, Phil has led national and global campaigns to push back against corporate polluters and build an authentic grassroots climate movement. Phil currently serves as U.S. Campaign Director at 350.org",350.org,1
Peter,Barnes,"Peter Barnes is an entrepreneur and writer who has founded and led several successful companies. Barnes began his career as a reporter on The Lowell (Mass.) Sun, and was subse­quently a Washington correspondent for Newsweek and West Coast correspondent for The New Republic. In 1976 he co­founded a worker­-owned solar energy company in San Francisco, and in 1985 he co­founded Working Assets Long Distance (now Credo Mobile). His books include Capitalism 3.0: A Guide to Reclaiming the Commons (2006), Who Owns the Sky? (2001), and Pawns: The Plight of the Citizen-Soldier (1972).",www.capitalism3.com,1
Jesse,Barron,"Jesse Barron is a fiction writer and critic living in Brooklyn. His reviews have appeared in the New York Observer and the Daily, and he worked with The Faster Times on the media campaign for the One Young World activists’ summit in Zurich.  Since graduating from Harvard in 2009, he’s been at work on a novel about Americans in Dubai.",,1
Andy,Bichlbaum,"Andy Bichlbaum (AKA Jacques Servin) got his start as an activist when, as a computer programmer, he inserted a swarm of kissing boys in a shoot-'em-up video game just before it shipped to store shelves, and found himself fired, famous, and hugely amused. Now, Andy helps run the Yes Lab for Creative Activism as part of his job as professor of subversion at New York University. Bichlbaum once flew down the Nile in a two-seater airplane, bringing a live goat to a remote Sudanese village as a hostess gift for a homecoming party. (The party was fun and the goat was insanely delicious.)",yeslab.org,1
Nadine,Bloch,"Nadine Bloch has walked hundreds of miles, trained volunteers, built giant puppets, climbed skyscrapers, dangled off bridges, wrangled spokecouncils, juggled media, developed curricula, and sailed oceans, all in support of social and economic justice. Her affiliations include work with Bread & Puppet Theater, Greenpeace, Labor Heritage Foundation, Nonviolence International, Ruckus Society, HealthGAP and Housing Works. Nadine’s work explores the potent intersection of art and politics; where creative cultural resistance is not only effective political action, but also a powerful way to reclaim agency over our own lives, fight oppressive systems, and invest in our communities — all while having more fun than the other side!",WagThis.org,1
Kathryn,Blume,"Kathryn Blume grew up improvising radio dramas on a tape recorder and pretending the trees were talking back.  A little while later, she finagled a self-designed degree from Yale in environmental studies and theater, and it’s been pretty much stuff like that ever since. She is co-founder of the radio show Earth on the Air, and the Lysistrata Project, the first worldwide theatrical event for peace. She has had essays published in numerous books, blogs, and magazines. Kathryn’s also a solo performer, climate activist, yoga teacher, wedding officiant, haphazard gardener, and irresponsible cat owner. Visit her at kathrynblume.com.",kathrynblume.com,1
L.M.,Bogad,"L.M. Bogad is a lifelong creative strategist (guided and goaded by Harpo, Groucho and Zero), co-founder of the Rebel Clown Army, founding director of the Center for Artistic Activism (West Coast), and professor of political performance at the University of California at Davis. He writes, performs, and strategizes with the Yes Men, Agit-Pop, and La Pocha Nostra. Author of Electoral Guerrilla Theatre: Radical Ridicule and Social Movements, Tactical Performance (forthcoming), the play COINTELSHOW: A Patriot Act, and works about the Spanish Civil War, Haymarket Square Riot, Pinochet coup, and the Egyptian revolution, he has led his Tactical Performance workshops in revolutionary Cairo, Reykjavik, Buenos Aires, and across the USA and Europe.",www.lmbogad.com,1
Josh,Bolotsky,"Josh Bolotsky is an online organizer, blogger, comedic performer/writer and occasional voiceover artist, currently serving as new media director for Agit-Pop Communications and its Other 98% Project. While at Agit-Pop, he has worked on creating and spreading projects that include the RepubliCorp effort for MoveOn, and Target Ain’t People, the very first Depeche-Mode-inspired take on the Citizens United decision to break a million views on YouTube. Josh also serves as part of the national volunteer collective that manages Living Liberally, a network of progressive social groups and activist resources in all fifty states. He enjoys vegan chili and writing about himself in the third person. More at JoshBolotsky.com ",oshBolotsky.com,1
Mike,Bonanno,"Mike Bonanno (né Igor Vamos) is a guy from Troy, New York, who spent his formative post-childhood years making mischief. Mike once purchased hundreds of talking GI Joe and Barbie dolls, switched out their voice boxes, and created a media firestorm that had God-fearing Americans up in arms about the shadowy “Barbie Liberation Front.” This escapade caught the attention of lazy queer hackers like Bichlbaum, and together they formed the Yes Men. When not involved in tomfoolery, Bonanno is also a professor of media art at Rensselaer Polytechnic Institute, with a Scottish wife and two babies. ",yeslab.org,1
Andrew,Boyd,"Andrew Boyd is an author, humorist and veteran of creative campaigns for social change. He led the decade-long satirical media campaign “Billionaires for Bush.” He co-founded Agit-Pop Communications, an award-winning “subvertising” agency, and the netroots movement The Other 98%. He's the author of three books: Daily Afflictions, Life’s Little Deconstruction Book and the creative action manual The Activist Cookbook. Unable to come up with with his own lifelong ambition, he’s been cribbing Milan Kundera’s: “to unite the utmost seriousness of question with the utmost lightness of form.” You can find him at andrewboyd.com.",andrewboyd.com,1
Margaret,Campbell,"Margaret Campbell is a freelancer of many trades, but carries with her the spirit of engaged journalism, and a closely-held belief in the capacity of public art to heal and unite. She has had the opportunity to travel toward a deep understanding of her home community of Minneapolis/ St. Paul, and to work extensively on the White Earth Ojibwe Reservation in Northwestern MN on media and environmental justice initiatives. She is a staunch supporter and budding practitioner of the earnestly-funny approach to activism advocated in this book. She is currently stuck somewhere between the Mini Apple and the Big Apple. ",,1
